question_id,survey_id,wording_verbatim,wording_status,publisher_definition,construct,concept,base_population,response_options,first_fielded,last_fielded,supersedes,superseded_by,break_note,source_url
gallup-wf-total-users,gallup-wf,,unpublished,"Gallup defines ""Total AI users"" as employees who say they used AI at work a few times a year or more.",ai_broad,frequency,"US adults 18+ working full or part time for organizations, Gallup Panel (probability-recruited), self-administered web","Buckets as described by Gallup: daily / a few times a week / a few times a month / a few times a year / never",2023-05-11,,,,"Verbatim stem unpublished — gap search documented 2026-07-07 (Indicator page, articles 691643/699689/701195/704225, Q4 topline PDF image-locked, Bentley PDF, Roper iPoll JS-gated). Gallup publishes definitions and buckets, never the stem.",https://www.gallup.com/699797/indicator-artificial-intelligence.aspx
gallup-wf-frequent-users,gallup-wf,,unpublished,"""Frequent AI users"" are those who indicate they use AI at work a few times a week or more.",ai_broad,frequency,"US adults 18+ working full or part time for organizations, Gallup Panel (probability-recruited), self-administered web","Buckets as described by Gallup: daily / a few times a week / a few times a month / a few times a year / never",2023-05-11,,,,"Derived category from the same unpublished item as gallup-wf-total-users.",https://www.gallup.com/699797/indicator-artificial-intelligence.aspx
gallup-wf-daily-users,gallup-wf,,unpublished,"Employees ""saying they use AI daily"" in their role (Gallup's published phrasing, e.g. ""13% of employees now saying they use AI daily"").",ai_broad,frequency,"US adults 18+ working full or part time for organizations, Gallup Panel (probability-recruited), self-administered web","Buckets as described by Gallup: daily / a few times a week / a few times a month / a few times a year / never",2023-05-11,,,,"Derived category from the same unpublished item as gallup-wf-total-users.",https://www.gallup.com/workplace/704225/rising-adoption-spurs-workforce-changes.aspx
gallup-wf-org-integration,gallup-wf,Has your organization integrated artificial intelligence (AI) technology?,published,"Reporting includes ""all employees who at the time of survey said 'yes,' to the best of their knowledge, their organization had implemented AI technology or tools to improve organizational practices.""",ai_broad,org_adoption,"US adults 18+ working full or part time for organizations, Gallup Panel","Yes / No (+ Don't know from Q3 2025)",,,,,"Gallup: ""Starting in Q3 2025, Gallup added a 'don't know' option to this question … results from Q3 2025 and later for this question are not directly comparable with earlier measurements."" First fielding date unpublished (pending).",https://www.gallup.com/699797/indicator-artificial-intelligence.aspx
btos-current-v1,btos,"In the last two weeks, did this business use Artificial Intelligence (AI) in producing goods or services? (Examples of AI: machine learning, natural language processing, virtual agents, voice recognition, etc.)",published,,ai_broad,current_use,"US employer businesses excluding farms (single- and multi-location from Sep 2023; single-location only before), ~1.2M sample in six rotating biweekly panels; centralized firm-level respondent",Yes / No / Do not know,2023-09-11,2025-10-05,,btos-current-v2,"Census, Dec 2025: ""Due to a level shift observed in conjunction with the new question wording, the decision was made to create a new time series for the AI questions, beginning with data released on December 4, 2025."" Old series preserved as ""AI Core Questions (Original)"" (cycles 202319-202520). NB: cycles 202521-202523 (Oct 6-Nov 16, 2025) were never collected due to the federal shutdown — a structural gap Census documents in the data dictionary; the old wording's last collection ended 2025-10-05.",https://www.census.gov/hfp/btos/downloads/AI%20Question%20Wording%20Updates.pdf
btos-future-v1,btos,"During the next six months, do you think this business will be using Artificial Intelligence (AI) in producing goods or services? (Examples of AI: machine learning, natural language processing, virtual agents, voice recognition, etc.)",published,,ai_broad,intended_use,"US employer businesses excluding farms, ~1.2M sample in six rotating biweekly panels",Yes / No / Do not know,2023-09-11,2025-10-05,,btos-future-v2,"Same Nov 2025 wording change, series cut, and shutdown gap (cycles 202521-202523 uncollected) as btos-current-v1.",https://www.census.gov/hfp/btos/downloads/AI%20Question%20Wording%20Updates.pdf
btos-current-v2,btos,"In the last two weeks, did this business use Artificial Intelligence (AI) in any of its business functions? (Examples of AI: machine learning, natural language processing, virtual agents, voice recognition, etc.)",published,,ai_broad,current_use,"US employer businesses excluding farms, ~1.2M sample in six rotating biweekly panels; centralized firm-level respondent",Yes / No / Do not know,2025-11-17,,btos-current-v1,,"New time series from Dec 4 2025 release; ""business functions"" wording produced a documented level shift vs the ""producing goods or services"" series.",https://www.census.gov/hfp/btos/downloads/AI%20Question%20Wording%20Updates.pdf
btos-future-v2,btos,"During the next six months, do you think this business will be using Artificial Intelligence (AI) in any of its business functions? (Examples of AI: machine learning, natural language processing, virtual agents, voice recognition, etc.)",published,,ai_broad,intended_use,"US employer businesses excluding farms, ~1.2M sample in six rotating biweekly panels",Yes / No / Do not know,2025-11-17,,btos-future-v1,,"New time series from Dec 4 2025 release.",https://www.census.gov/hfp/btos/downloads/AI%20Question%20Wording%20Updates.pdf
btos-supp2-any-function,btos,"In the last six months, did this business use Artificial Intelligence (AI) in any of the following business functions? — matrix over 15 functions: Production of goods (e.g., making or assembling products, construction); Provision of services, products, or merchandise; Strategy and business development; Finance and accounting; Sales and marketing; Customer service; Research and development; Information technology; Human resources; Public relations and communication; Management and administration; Sourcing, supply chains, and purchasing; Quality management and control; Distribution; Legal and compliance",published,"Headline (per NBER w35141) = share of firms using AI in at least one function. NB: six-month recall window — NOT comparable to the two-week core item.",ai_broad,current_use,"US employer businesses excluding farms; full 1.2M sample pooled across all six panels for the supplement window",Per function: Yes / No / Don't know (matrix),2025-11-17,2026-02-08,,,"Verbatim stem captured 2026-07-07 from the fielded instrument (Q24, ""BTOS Core and AI Content"" V4 Cycle 2, revised 07/23/2025). Function-level estimates published in AI_Supplement_Table_2026.xlsx (not yet ingested — national headline only per PRD §8.2).",https://www.census.gov/hfp/btos/downloads/BTOS%20Core%20and%20AI%20Content.pdf
rps-genai-work,rps,"Do you use Generative AI for your job? (Preceded by module definition: ""Generative AI is a type of artificial intelligence that creates text, images, audio, or video in response to prompts. Some examples of Generative AI include ChatGPT, Gemini, and Midjourney."")",published,,generative_ai,current_use,"Employed US adults 18–64 in the Real-Time Population Survey (online panel weighted to CPS/ACS benchmarks); genAI module gated by an awareness screener (module skipped by the ~25.5% who had not heard of genAI)",Yes / No,2024-06,,,,"Pilot Jun 2024; full module from Aug 2024.",https://www.nber.org/system/files/working_papers/w32966/w32966.pdf
rps-genai-any,rps,"Combined measure from ""Do you use Generative AI for your job?"" and ""Do you use Generative AI [outside your job]?"" (both verbatim in the paper; same module definition as rps-genai-work)",published,"Paper framing: ""39.6 percent of respondents report using genAI either at work or at home""; tracker headline: share of the US population aged 18–64 that uses genAI.",generative_ai,current_use,"US adults 18–64 in the Real-Time Population Survey (online panel weighted to CPS/ACS benchmarks)",Yes / No per component item,2024-06,,,,"Headline series of the GenAI Adoption Tracker (genaiadoptiontracker.com).",https://www.nber.org/system/files/working_papers/w32966/w32966.pdf
btos-supp2-worker-genai,btos,"In the last six months, did this business's employees use Generative AI to assist in any work-related tasks? (Generative AI is a type of Artificial Intelligence that uses prompts or other inputs to create text, images, music, videos, or code. Some examples of Generative AI include ChatGPT, Gemini, Copilot, Claude, Dall E, MidJourney, and GitHub Copilot.)",published,,generative_ai,work_use,"US employer businesses excluding farms; full 1.2M sample pooled for the supplement window; asked of the centralized firm-level respondent (owner/manager), not workers themselves",Yes / No / Do not know,2025-11-17,2026-02-08,,,"Q31 of the AI supplement — BTOS's first generative-AI-specific item, verbatim from the fielded instrument. No estimate row yet: w35141's ""worker-level AI use in 23% of firms (41% employment-weighted)"" may describe Q30 (broader worker-AI item) rather than Q31 — disambiguate against AI_Supplement_Table_2026.xlsx before entering a value (no-guess rule).",https://www.census.gov/hfp/btos/downloads/BTOS%20Core%20and%20AI%20Content.pdf
