referent_id,category,subcategory,referent_summary,source_of_truth,authoritative_statement,source_date,source_url,evidence_type,epistemic_basis,notes,references
REF-SANDERS-AI,Labor / Jobs,Policy response,Sanders' claims about AI job losses and a shorter work week,"Bernie Sanders (US Senator), Senate HELP materials / public statements",Sanders argued AI-related displacement could drive large white-collar losses and called for responses including a shorter (32-hour) work week.,2025.0,https://www.sanders.senate.gov/wp-content/uploads/10.6.2025-The-Big-Tech-Oligarchs-War-Against-Workers.pdf,expert judgment / advocacy,"Advocacy framing; displacement scale asserted, not yet evidenced in aggregate data.","SOURCE: Primary: official Senate HELP report PDF, 2025-10-06 (~100M jobs over a decade; 32-hour week + robot tax proposals). CAVEAT: the ~100M headline figure was generated by asking ChatGPT to model occupational job losses - a significant methodological weakness.",[]
REF-STRIKES-AI,Labor / Jobs,Creative industries,SAG-AFTRA / WGA claims that studio AI use threatens actors' and writers' work,"SAG-AFTRA and WGA, 2023 Hollywood strikes and resulting contract provisions","The unions argued studio use of AI threatens members' livelihoods and likenesses, requiring consent and compensation protections; contracts added AI guardrails.",2023.0,https://www.sagaftra.org/contracts-industry-resources/contracts/2023-tvtheatrical-contracts/artificial-intelligence-resources,stated position / negotiated outcome,Position advanced in bargaining; studios argued some AI uses are complementary.,SOURCE: Primary: official SAG-AFTRA 2023 TV/Theatrical AI resources page (contract ratified 2023-12-05). WGA 2023 MBA has separate AI provisions.,[]
REF-NANDA-PILOTS,AI Hype / Bubble,Enterprise ROI,MIT NANDA finding that most enterprise GenAI pilots show no P&L impact,"MIT NANDA initiative, 'The GenAI Divide: State of AI in Business 2025'",Report found roughly 95% of enterprise generative-AI pilots showed no measurable profit-and-loss impact.,2025.0,https://mlq.ai/media/quarterly_decks/v0.1_State_of_AI_in_Business_2025_Report.pdf,observational / survey report,Headline figure is contested; some analysts dispute methodology and argue returns lag rather than being absent.,"SOURCE: Report PDF (MIT Project NANDA, July 2025). Widely-cited coverage: Fortune 2025-08-18. Verify against an MIT-hosted copy if available.",[]
REF-HOFMANN-DIALECT,Systemic Bias,Language/dialect bias,Finding that LLMs show covert dialect prejudice against African American English,"Hofmann et al. (AI2, Stanford, Oxford, Chicago), 'Dialect prejudice...' (later Nature)","Study found LLMs judged speakers of African American English more negatively (e.g., less prestigious jobs, harsher judgments) even when overt bias appeared reduced.",2024.0,https://arxiv.org/abs/2403.00742,controlled experiment (model probing),"Prompt-based probing; developers note deployed safeguards, authors counter covert bias persists.","SOURCE: Primary: arXiv 2403.00742, submitted 2024-03-01; later published in Nature (2024).",[]
REF-BLOOMBERG-IMAGE,Systemic Bias,Image-generation bias,Bloomberg analysis that generative image models amplify demographic stereotypes,"Bloomberg (Nicoletti & Bass), 'Humans Are Biased. Generative AI Is Even Worse'","Analysis of Stable Diffusion outputs found high-status occupations depicted as predominantly white and male, lower-status ones as people of color.",2023-06,https://www.bloomberg.com/graphics/2023-generative-ai-bias/,observational analysis,"Vendors add debiasing; over-correction can also distort (cf. Gemini image incident, 2024).","SOURCE: Primary: Bloomberg Graphics, Nicoletti & Bass, June 2023; analysis of 5,000+ Stable Diffusion images.",[]
REF-GEBRU-POWER,Systemic Bias,Power concentration,Gebru's position that AI encodes discrimination and concentrates power,"Timnit Gebru (DAIR), public talks and interviews","Gebru argued AI systems continue to encode discrimination and concentrate power, and that sweeping deployment without oversight risks systematic harm to marginalized groups.",2022-2026,https://ainowinstitute.org/publications/frugal-ai,expert judgment / stated position,General position; disagreement centers on pace and adequacy of engineering fixes.,"Diffuse across many talks; no single canonical origin. | SOURCE/2026-VERIFY: 2026 CHECK: position HOLDS. Best current source: AI Now Institute 'Frugal AI' interview 2026-02-10 (critiques 'one giant model' paradigm and Big Tech resource concentration, ahead of India AI Impact Summit). Also ~Jan 2026 Chris Hayes/MSNBC interview (AI as concentrated power; inherits societal inequality). Earlier anchors: DAIR founding (2021), Stanford HAI 2022.","[{""date"": ""2026-02-10"", ""url"": ""https://ainowinstitute.org/publications/frugal-ai"", ""text"": ""Critiques the 'one giant model' paradigm and Big Tech's concentration of compute and resources."", ""kind"": ""paraphrase"", ""provenance"": ""primary"", ""note"": ""AI Now 'Frugal AI' interview, ahead of the India AI Impact Summit.""}, {""date"": ""2026-01"", ""url"": ""https://ibegtodiffer.substack.com/p/is-ai-becoming-a-tool-of-concentrated"", ""text"": ""Frames AI as a tool of concentrated power that reproduces existing inequality."", ""kind"": ""paraphrase"", ""provenance"": ""secondary"", ""note"": ""Secondary summary of a ~Jan 2026 MSNBC/Chris Hayes interview; verify against the primary transcript if used.""}]"
REF-BUOLAMWINI-BOOK,Systemic Bias,Facial/representational bias,Buolamwini's restated case on algorithmic bias and 'the coded gaze',"Joy Buolamwini, book 'Unmasking AI'",Buolamwini restated that facial and generative systems carry documented biases and argued for oversight and awareness of 'the coded gaze'.,2023.0,https://www.penguinrandomhouse.com/books/670356/unmasking-ai-by-dr-joy-buolamwini/,expert judgment / synthesis,Synthesizes prior audits; vendors report improved demographic accuracy since.,"SOURCE: Primary: publisher page, 'Unmasking AI' (Random House, Oct 2023, ISBN 9780593241837). Author site: unmasking.ai.",[]
REF-BARTZ-ANTHROPIC,Data / Privacy / Copyright,Copyright ruling,Ruling in Bartz v. Anthropic on training vs. pirated acquisition,"Judge William Alsup, Bartz v. Anthropic (N.D. Cal.)","The court held that training an LLM on books can be transformative fair use, but that acquiring copies via piracy is not.",2025-06,https://www.americanbar.org/groups/business_law/resources/business-law-today/2025-september/ai-copyright-fair-use-rulings-business-lawyers/,court ruling,"Partial ruling; training held fair use, pirated-copy use exposed liability; later reported settlement.","SOURCE: Bartz v. Anthropic order 2025-06-23 (Judge Alsup, N.D. Cal.). Documentation (ABA); raw order PDF not captured this session.",[]
REF-KADREY-META,Data / Privacy / Copyright,Copyright ruling,Ruling in Kadrey v. Meta granting summary judgment on a narrow record,"Judge Vince Chhabria, Kadrey v. Meta (N.D. Cal.)","The court granted summary judgment for Meta on the specific record while stressing the outcome reflected the plaintiffs' weak showing, not a blanket endorsement.",2025-06,https://www.americanbar.org/groups/business_law/resources/business-law-today/2025-september/ai-copyright-fair-use-rulings-business-lawyers/,court ruling,Judge explicitly limited the holding to the evidentiary record.,"Ruling reportedly dated 2025-06-25 (from verification pass). | SOURCE: Kadrey v. Meta order 2025-06-25 (Judge Chhabria, N.D. Cal.). Documentation (ABA); raw order PDF not captured this session.",[]
REF-NEWTONREX-CONSENT,Data / Privacy / Copyright,Creator consent,Newton-Rex's claim that generative AI relies on uncompensated scraping,"Ed Newton-Rex (Fairly Trained; ex-Stability AI), resignation statement and campaign","Newton-Rex argued generative AI is built on uncompensated scraping of creators' work and that creators deserve consent, credit, and compensation.",2023-11,https://www.musicbusinessworldwide.com/why-just-resigned-from-my-job-generative-ai/,stated position,AI firms counter that training on public data is fair use and per-input licensing is impractical.,"SOURCE: Primary: Newton-Rex's own resignation statement, Music Business Worldwide, 2023-11-15 (originally an X post). Fairly Trained: fairlytrained.org.",[]
REF-USDC-ELECTRICITY,Environment / Data Centers,Electricity use,US data-center electricity consumption figures (level and trajectory),"Shehabi et al., 2024 U.S. Data Center Energy Usage Report (LBNL, for US DOE)","US data centers used ~176 TWh in 2023 (~4.4% of US electricity), projected to 325-580 TWh by 2028 (6.7-12%). US was ~45% of GLOBAL data-center electricity in 2024; global data-center electricity was ~415 TWh in 2024 (~1.5% of world electricity).",2024-12,https://eta-publications.lbl.gov/sites/default/files/2024-12/lbnl-2024-united-states-data-center-energy-usage-report_1.pdf,direct measurement (2023) + forecast (2028),"2023 figure is a bottom-up estimate, boundary-dependent (what counts as a data center); projection depends on buildout/efficiency assumptions.","This referent anchors both LBNL's own statement and the distorted Canary Media post. | LEAD (2026-07-07, unfetched - verify before use): Canary Media's own ARTICLE (canarymedia.com/articles/data-centers/data-centers-use-more-power-in-the-us-than-anywhere-else) appears to state the correct framing the X post garbled - ~40% of GLOBAL DATA-CENTER demand is US, ~313 TWh US in 2025 per Energy Institute Statistical Review. Fetch blocked (403, archive.org also blocked from this harness); content seen only via search index.",[]
REF-IEA-ENERGYAI,Environment / Data Centers,Electricity use,IEA projection of global data-center electricity demand,"International Energy Agency, 'Energy and AI'","IEA base case projects global data-center electricity could reach ~945 TWh by 2030, more than doubling, driven substantially by AI.",2025-04,https://www.iea.org/reports/energy-and-ai,model / projection,Notes efficiency gains and that data centers remain ~1.5% of global electricity today.,"SOURCE: Primary: IEA report page, 2025.",[]
REF-REN-WATER,Environment / Data Centers,Water use,Ren et al. estimates of AI water footprint,"Shaolei Ren et al. (UC Riverside), 'Making AI Less Thirsty'","v1 (2023-04-06): 'ChatGPT needs to ""drink"" a 500ml bottle of water for a simple conversation of roughly 20-50 questions and answers'; revised v5 (2025-03-26): 'GPT-3 needs to ""drink"" (i.e., consume) a 500ml bottle of water for roughly 10-50 medium-length responses'. Underlying estimate (v5 Table 1, medium request, GPT-3 175B): 7.6-47.5 mL TOTAL per request by US data-center location, of which on-site cooling is only 0-7.6 mL — the majority is off-site water embedded in electricity generation.",2023-04-06 (v1); 2025-03-26 (v5),https://arxiv.org/abs/2304.03271,model / estimate,"Academic estimate from public benchmarks, not operator measurement; GPT-3-era; varies ~6x by location; the responses-per-bottle basis changed between arXiv versions (20-50 questions -> 10-50 medium responses).","Original arXiv posting date not pinned here. | SOURCE: Primary: arXiv 2304.03271 (2023); later in Communications of the ACM 68(7), 2025. | Enriched 2026-07-05 from provenance-register research (row water-500ml-per-prompt): primary fetched and quoted from arXiv abstract pages v1/v2/v5, HTML full text v5, v1 PDF. Training figure in same paper: ~700,000 L for GPT-3. Author Shaolei Ren has publicly maintained the figure was misread as per-prompt.",[]
REF-BIGTECH-EMISSIONS,Environment / Data Centers,Emissions,Rising tech-company emissions despite efficiency claims,"Google 2024 Environmental Report and analyses (e.g., Brookings)",Absolute data-center electricity and overall emissions rose at major providers; Google's GHG emissions rose ~51% between 2019 and 2024 even as per-unit efficiency improved.,2024-2025,https://blog.google/company-news/outreach-and-initiatives/sustainability/2024-environmental-report/,disclosure / direct measurement,Companies cite clean-energy procurement and per-compute efficiency; absolute emissions still rose.,48% vs 51% framing flagged in verification pass; treat exact figure with care. | SOURCE: Primary: Google's own 2024 Environmental Report. Google states GHG emissions rose 48% since 2019 (through 2023) and 13% YoY; the ~51% figure is a later 2019->2024 number cited by analyses.,[]
REF-PERQUERY-ENERGY,Environment / Data Centers,Per-query footprint,Estimates of energy per typical AI text query,"Brookings, 'Global energy demands within the AI regulatory landscape' (citing IEA/newer measurements)","Median energy per text query is estimated around 0.24-0.3 Wh, lower than some viral claims, though heavy reasoning/multimodal queries use much more.",2026-04,https://www.brookings.edu/articles/global-energy-demands-within-the-ai-regulatory-landscape/,measurement / synthesis,Aggregate scale still matters even if per-query cost is low; averages hide high-end usage.,"Operator disclosures behind these numbers tracked as their own referents: REF-GOOGLE-GEMINI-FOOTPRINT (Google, two boundaries), REF-OPENAI-PERQUERY (Altman, bare assertion).",[]
REF-MIT-BRAIN,Impact Framework,Cognitive effects,MIT Media Lab EEG study on LLM-assisted essay writing,"Kosmyna et al. (MIT Media Lab), 'Your Brain on ChatGPT'","Study reported that LLM-assisted essay writing was associated with lower measured neural connectivity, weaker recall of one's own text, and accumulating 'cognitive debt' vs unaided writing.",2025-06,https://arxiv.org/abs/2506.08872,controlled experiment,"Small sample (~54), single short task, preprint; external validity to lasting cognitive decline is unproven.","Authors cautioned against 'ChatGPT makes you dumb' readings. | SOURCE: Primary: arXiv 2506.08872, June 2025; project site brainonllm.com. Preprint.",[]
REF-MSCMU-CRITICAL,Impact Framework,Cognitive effects,Microsoft/CMU study on generative AI and critical thinking,"Lee et al. (Microsoft Research & CMU), 'The Impact of Generative AI on Critical Thinking' (CHI 2025)","Study found higher confidence in generative AI associated with less critical thinking, and higher self-confidence with more; knowledge workers may offload cognitive effort.",2025.0,https://www.microsoft.com/en-us/research/publication/the-impact-of-generative-ai-on-critical-thinking-self-reported-reductions-in-cognitive-effort-and-confidence-effects-from-a-survey-of-knowledge-workers/,observational (self-report survey),"Correlational; offloading is not inherently harmful; framed as a shift, not simple decline.",SOURCE: Primary: Microsoft Research / CHI 2025 (Apr 2025); DOI 10.1145/3706598.3713778; survey of 319 knowledge workers.,[]
REF-GENAI-WORK,Impact Framework,Augmentation,"Evidence that generative AI raises productivity, especially for lower-skilled workers","Brynjolfsson, Li & Raymond, 'Generative AI at Work' (call-center study)","Study found generative AI raised call-center productivity, with the largest gains for less-experienced/lower-skilled workers.",2023 (rev.),https://www.nber.org/papers/w31161,observational study (field data),Real field data; skeptics note possible deskilling/dependency over time; effects vary by task.,"Original NBER working paper date not pinned here. | SOURCE: Primary: NBER WP 31161, Apr 2023; published QJE 140(2):889-942, 2025.",[]
REF-CAIS-EXTINCTION,Existential / Safety Risk,Catastrophic risk,The CAIS one-sentence statement on AI extinction risk,"Center for AI Safety, 'Statement on AI Risk' (multi-signatory)",The statement holds that mitigating the risk of extinction from AI should be a global priority alongside pandemics and nuclear war.,2023-05,https://en.wikipedia.org/wiki/Statement_on_AI_Risk,stated position (expert consensus signal),Signed by many senior researchers/executives; critics argue existential framing distracts from present harms.,"SOURCE: Statement primary-hosted at safe.ai (Center for AI Safety), 2023-05-30; exact safe.ai path not captured this session - Wikipedia documents it. VERIFY safe.ai URL.",[]
REF-HINTON-DEPARTURE,Existential / Safety Risk,Catastrophic risk,Hinton's warnings after leaving Google,"Geoffrey Hinton, New York Times interview and subsequent talks","Hinton said he left Google to speak freely about AI dangers and that advanced AI could become smarter than people and pose serious, possibly existential, risks.",2023-05,https://en.wikipedia.org/wiki/Geoffrey_Hinton,expert judgment / stated position,LeCun and others argue current systems are far from such capability.,"SOURCE: Primary: NYT 'The Godfather of A.I. Leaves Google and Warns of Danger Ahead' by Cade Metz, 2023-05-01. Exact nytimes.com URL not captured; documented via Wikipedia. VERIFY NYT URL.",[]
REF-LECUN-SKEPTIC,Existential / Safety Risk,Risk skepticism,LeCun's position that imminent-superintelligence fears are overblown,"Yann LeCun (Meta), public talks, interviews, posts on X","LeCun argued fears of imminent, uncontrollable superintelligent AI are overblown and that current LLMs lack real world models.",2023-2026,https://www.startuphub.ai/ai-news/ai-figures/2026/figure-yann-lecun-llm-position-evolution-2026-06-16,expert judgment / stated position,Safety researchers counter that capability gains are fast and waiting for proof is risky.,"Diffuse across many statements. | SOURCE/2026-VERIFY: 2026 CHECK: position HOLDS/intensified. MAJOR STATUS CHANGE: left Meta Nov 2025; raised $1.03B for AMI Labs (world models) announced 2026-03-10. India AI Impact Summit Feb 2026: LLMs 'mostly information retrieval systems'; on superintelligence 'People have been making that claim for the last 15 years, and it's been false.' claimant_role updated Meta->AMI Labs. Position unchanged since 2022, now backed by $1B+.","[{""date"": ""2026-02"", ""url"": ""https://www.thenews.com.pk/latest/1395197"", ""text"": ""LLMs are \""mostly information retrieval systems.\"""", ""kind"": ""verbatim"", ""provenance"": ""secondary"", ""note"": ""India AI Impact Summit coverage. Also said (verbatim): 'People have been making that claim [superintelligence] for the last 15 years, and it's been false.' Context: left Meta Nov 2025; AMI Labs raised $1.03B Mar 2026.""}]"
REF-MARCUS-UNRELIABLE,Existential / Safety Risk,Capability critique,Marcus's critique that LLMs are unreliable and not a path to general intelligence,"Gary Marcus, Substack essays, testimony, public commentary","Marcus argued LLMs are unreliable, prone to hallucination, and not on a direct path to general intelligence, and that much AI progress is overstated.",2022-2026,https://garymarcus.substack.com/p/the-last-few-months-have-been-devastating,expert judgment (partly evidenced by observable behavior),Others argue scaling and tool use overcame many earlier objections.,"Diffuse across many pieces. | SOURCE/2026-VERIFY: 2026 CHECK: position HOLDS (reinforced). Marcus on AI (Substack) continues the line: Oct 2025 'AGI is not imminent, and LLMs are not the royal road to getting there'; July 2025 'A knockout blow for LLMs?' (Apple reasoning paper). Consistent since 'Deep Learning is Hitting a Wall' (2022). Substack is the representative primary.","[{""date"": ""2025-10"", ""url"": ""https://garymarcus.substack.com/p/the-last-few-months-have-been-devastating"", ""text"": ""\""AGI is not imminent, and LLMs are not the royal road to getting there.\"""", ""kind"": ""verbatim"", ""provenance"": ""primary"", ""note"": ""Post thesis line, his own Substack.""}, {""date"": ""2025-07"", ""url"": ""https://garymarcus.substack.com/p/a-knockout-blow-for-llms"", ""text"": ""Argues the Apple reasoning-model paper is a 'knockout blow' for LLM reasoning claims."", ""kind"": ""paraphrase"", ""provenance"": ""primary"", ""note"": ""'knockout blow' echoes the post title.""}]"
REF-BENDER-PARROTS,Systemic Bias,Capability critique,Bender's restated 'stochastic parrots' critique,"Emily M. Bender (and co-authors), later talks/writing restating the 2021 paper","Bender restated that large language models stitch together training text without understanding, and that their scale raises environmental, bias, and accountability harms.",2021-2026,https://doi.org/10.1145/3442188.3445922,expert judgment / stated position,Some researchers argue emergent capabilities exceed the 'parrot' framing.,"Later restatements of a pre-2022 paper. | SOURCE/2026-VERIFY: 2026 CHECK: position HOLDS (highly active). Anchor: 'On the Dangers of Stochastic Parrots' FAccT 2021 (DOI 10.1145/3442188.3445922). Restated/expanded in book 'The AI Con' (Bender & Hanna, 2025) and many 2026 appearances (404 Media Mar 2026; 'The Woman Who Called ChatGPT a Stochastic Parrot' Apr 2026; full list at faculty.washington.edu/ebender/media). Core claim unchanged: LLMs manipulate form without meaning/understanding.","[{""date"": ""2021-03"", ""url"": ""https://doi.org/10.1145/3442188.3445922"", ""text"": ""An LM stitches together linguistic forms without reference to meaning ('stochastic parrot')."", ""kind"": ""paraphrase"", ""provenance"": ""primary"", ""note"": ""Foundational FAccT 2021 paper; paraphrase of its LM definition.""}, {""date"": ""2025"", ""url"": ""https://thecon.ai"", ""text"": ""LLMs produce plausible text with no understanding; 'AI' claims are largely Big-Tech hype."", ""kind"": ""paraphrase"", ""provenance"": ""primary"", ""note"": ""Book: 'The AI Con' (Bender & Hanna, 2025).""}, {""date"": ""2025-06"", ""url"": ""https://www.techmeme.com/250621/p17"", ""text"": ""Calls generative AI a \""glorified Magic 8 Ball.\"""", ""kind"": ""verbatim"", ""provenance"": ""secondary"", ""note"": ""Verbatim quote via a Techmeme summary of a Financial Times interview (George Hammond); verify against FT directly if used.""}, {""date"": ""2026"", ""url"": ""https://faculty.washington.edu/ebender/media"", ""text"": ""Continues restating the no-understanding / anti-hype critique across 2026 media."", ""kind"": ""paraphrase"", ""provenance"": ""primary"", ""note"": ""Ongoing: 404 Media (Mar 2026), 'The Woman Who Called ChatGPT a Stochastic Parrot' (Apr 2026), etc. Dated list at the UW page.""}]"
