id,company,ticker,announcement_date,effective_date,count,count_precision,count_scope,country,region_detail,sector,ai_attribution,causal_link,attribution_quote,attribution_notes,source_url,source_type,press_independent,cross_references,verification_status,added_date,updated_date,notes
uipath-2024-07,UiPath,PATH,2024-07-09,,420,approximate,global,,,tech,explicit_company,mixed,"These changes reflect efforts to reshape the organization by streamlining the Company's structure, particularly in operational and corporate functions, better prioritizing our go-to-market investments and focusing our research and development investments on artificial intelligence and driving innovation across our platform. — UiPath Form 8-K Item 2.05, filed 2024-07-09, https://www.sec.gov/Archives/edgar/data/1734722/000173472224000044/path-20240708.htm","Company named AI in the restructuring rationale — but as an R&D investment focus, not as AI displacing the eliminated roles. Stated purpose: 'This workforce reduction is aimed at further driving operational efficiency and customer centricity.' BORDERLINE: AI as investment destination, not cause.",https://www.sec.gov/Archives/edgar/data/1734722/000173472224000044/path-20240708.htm,regulatory_filing,true,,verified,2026-07-03,2026-07-03,"Recode 2026-07-03. 8-K says ~10% of ~4,200 global workforce as of 2024-07-01; 420 is derived, company never stated it. Board approved 2024-07-08, filed 2024-07-09. Global cuts, no country split. Source upgraded from CNBC (403) to SEC 8-K primary."
klarna-2024-09,Klarna,,2024-12-14,,,undisclosed,unknown,Sweden,,fintech,explicit_company,sole,"We stopped hiring about a year ago. We were 4,500, now we're 3,500. [...] We have a natural attrition, as [does] every tech company. People stay about 5 years — so 20% leave every year — and by not hiring, we're simply shrinking. — Sebastian Siemiatkowski (CEO), Bloomberg TV interview Dec 2024, via TechCrunch, https://techcrunch.com/2024/12/14/klarnas-ceo-says-it-stopped-hiring-thanks-to-ai-but-still-advertises-many-open-positions/","CEO explicitly and repeatedly credited AI for shrinking headcount — but via hiring freeze + natural attrition, explicitly NOT layoffs. The row's '700' is the Feb 2024 marketing claim that Klarna's OpenAI-powered assistant 'does the work of 700 agents' — never a 700-person layoff. Klarna's actual ~700-person layoff was May 2022, pre-ChatGPT, attributed to macro conditions.",https://techcrunch.com/2024/12/14/klarnas-ceo-says-it-stopped-hiring-thanks-to-ai-but-still-advertises-many-open-positions/,press_report,,,single_source,2026-07-03,2026-07-03,"Recode 2026-07-03; kept per human decision 2026-07-03: explicit company AI attribution to workforce reduction, but via hiring freeze + natural attrition, not layoffs ('Not by mass firing'). No layoff count exists: the circulated '700' is Klarna's Feb 2024 marketing claim that its OpenAI-powered assistant 'does the work of 700 agents' — not a headcount cut; Klarna's actual ~700-person layoff was May 2022, pre-ChatGPT, macro-attributed. Headcount trajectory per CEO: ~4,500 to ~3,500 (Dec 2024, Bloomberg TV via TechCrunch); Sept 2024 reporting had ~5,000 to ~3,800 (22%) — both recorded, neither a layoff count. announcement_date set to the fetched carrier of the CEO quote (2024-12-14); reduction was gradual over 2023-2024. id kept stable."
microsoft-2025-05,Microsoft,MSFT,2025-05-13,,6000,approximate,global,United States,,tech,press_inferred,contextual,"Microsoft slashes 6,000 jobs as it clears the way for AI investments — Euronews Business headline/framing, 2025-05-14, https://www.euronews.com/business/2025/05/14/microsoft-slashes-6000-jobs-as-it-clears-the-way-for-ai-investments","Microsoft's own statement did not mention AI: 'organisational changes necessary to best position the company for success in a dynamic marketplace', focus on 'reducing layers with fewer managers' (CFO Amy Hood). AI link made by press framing ($80B AI-capex context; Nadella's 'maybe 20-30% of the code' remark). COUNTER-ATTRIBUTION on record: Glassdoor lead economist Daniel Zhao — cutting managers 'doesn't really sound like it's being driven by AI.' (same Euronews piece).",https://www.euronews.com/business/2025/05/14/microsoft-slashes-6000-jobs-as-it-clears-the-way-for-ai-investments,press_report,,,verified,2026-07-03,2026-07-03,"Recode 2026-07-03. ~6,000 / ~3% of workforce, announced 2025-05-13, confirmed. Global cuts, Washington state largest bloc. Attribution contested: press inferred AI, named analyst disputed it, company said neither — both recorded. Human may weigh whether disputed press inference clears the scope bar."
microsoft-2025-07,Microsoft,MSFT,2025-07-02,,9000,approximate,global,United States,,tech,press_inferred,contextual,"the timing and focus of the cuts suggest a shift toward a leaner, more automated organization — Fortune, 2025-07-02, https://fortune.com/2025/07/02/microsoft-layoffs-9000-ai/ (Fortune explicitly notes Microsoft 'has not directly attributed the layoffs to AI replacing human workers')","Microsoft's stated reason (spokesperson via Fortune): 'We continue to implement organizational changes necessary to best position the company and teams for success in a dynamic marketplace.' — plus reducing 'organizational layers with fewer managers'. AI link is press inference, contextually supported by Nadella's statement that up to 30% of Microsoft's code is written by AI tools. Company itself: no AI attribution.",https://fortune.com/2025/07/02/microsoft-layoffs-9000-ai/,press_report,,,verified,2026-07-03,2026-07-03,"Recode 2026-07-03. ~9,000 (just under 4% of workforce), announced 2025-07-02, confirmed. Global cuts incl. gaming/Xbox; US-heavy (Washington WARN filings)."
salesforce-2025-09,Salesforce,CRM,2025-09-02,,4000,approximate,unknown,,,tech,explicit_company,sole,"I've reduced it from 9,000 heads to about 5,000, because I need less heads. — Marc Benioff (CEO), on the customer-support org, 'The Logan Bartlett Show' podcast (~2025-09-01), verified via https://www.salesforceben.com/ai-agents-drive-4000-job-cuts-in-salesforce-support-division/","Benioff explicitly credited Agentforce AI support agents: 'A million and a half conversations also happened through our support agents during that same period, and the CSAT scores were about the same.' DISPUTE: Salesforce's official statement reframed as redeployment, not layoffs: 'We've successfully redeployed hundreds of employees into other areas like professional services, sales, and customer success.' No formal layoff filing found; 4,000 is derived from Benioff's 9,000→'about 5,000'.",https://www.salesforceben.com/ai-agents-drive-4000-job-cuts-in-salesforce-support-division/,press_report,,,disputed,2026-07-03,2026-07-03,"Recode 2026-07-03. Disputed: company conflicts with itself on whether these are layoffs at all (CEO 'need less heads' vs PR 'redeployed'). Podcast primary not fetched; quote verified via fetched press carrier (CNBC/Fortune/NBC carried same quote but 403'd). Support org global, no split disclosed."
chegg-2025-10,Chegg,CHGG,2025-10-27,,388,approximate,global,,,edtech,explicit_company,sole,"The new realities of AI and reduced traffic from Google to content publishers — Chegg press release 'Chegg to Remain a Standalone Public Company to Maximize Shareholder Value', 2025-10-27, verbatim via https://www.stocktitan.net/news/CHGG/chegg-to-remain-a-standalone-public-company-to-maximize-shareholder-xkccw7ddzv24.html; SEC 8-K exhibit: https://www.sec.gov/Archives/edgar/data/0001364954/000136495425000112/a9901-pressreleasecheggtor.htm",Company explicitly cited AI: restructuring reflects traffic/revenue decline attributed to shifts in generative AI and changing search patterns. Same release: Rosensweig reassumes President/CEO; pivot to B2B skilling incl. 'AI-related skills courses'. Second AI-attributed Chegg cut (after May 2025 22% reduction; row chegg-2024-06 is a separate earlier event).,https://www.sec.gov/Archives/edgar/data/0001364954/000136495425000112/a9901-pressreleasecheggtor.htm,company_statement,,,verified,2026-07-03,2026-07-03,"Recode 2026-07-03. Count confirmed: 'approximately 388 employees, or about 45% of the current workforce'; date 2025-10-27 confirmed. Explicitly 'global workforce', no country split. Verbatim verified via stocktitan full-text carrier; SEC exhibit is the primary copy (direct fetch 403'd)."
amazon-2025-10,Amazon,AMZN,2025-10-28,,14000,approximate,global,United States,,tech,explicit_company,mixed,"This generation of AI is the most transformative technology we've seen since the internet — Beth Galetti (SVP People eXperience and Technology), message to employees announcing ~14,000 corporate role reductions, 2025-10-28, verified via https://www.computerweekly.com/news/366633466/Amazon-links-planned-mass-layoff-to-AI","AI-WASHING DISPUTE ON RECORD, reverse direction: two days later CEO Andy Jassy walked back the AI framing on the Q3 earnings call (2025-10-30): 'The announcement that we made a few days ago was not really financially driven, and it's not even really AI-driven, not right now at least' / 'It's culture.' (verbatim via https://fortune.com/2025/11/01/ceo-andy-jassy-amazon-layoffs-about-culture-not-ai/). SVP's written announcement named AI as context; CEO then denied AI as driver — both recorded, not adjudicated. Galetti also: company must 'be organised more leanly, with fewer layers and more ownership, to move as quickly as possible'.",https://www.computerweekly.com/news/366633466/Amazon-links-planned-mass-layoff-to-AI,company_statement,,,disputed,2026-07-03,2026-07-03,"Recode 2026-07-03. ~14,000 roles confirmed, 2025-10-28 confirmed; later reporting: total could reach 30,000. Migrated source_url was a Dec 21 CNBC roundup, replaced. Global corporate cuts, US primary (90-day internal-transfer window for 'most US-based employees'). Better primary would be the aboutamazon.com Galetti message if URL located."
meta-2026-01,Meta,META,2026-01-13,,300,approximate,country,United States,,tech,press_inferred,contextual,"recalibrating its priorities away from parts of the metaverse and toward artificial intelligence–driven devices and wearables — American Bazaar (reporter's framing, not Meta's), 2026-01-15, https://americanbazaaronline.com/2026/01/15/meta-layoffs-in-2026-hit-reality-labs-473299/; CNBC headlined the cuts as 'underscoring Zuckerberg's pivot to AI' (2026-01-13, 403 to fetch)","Meta's OWN framing does not mention AI — spokesperson: 'We said last month that we were shifting some of our investment from metaverse toward wearables. This is part of that effort, and we plan to reinvest the savings to support the growth of wearables this year.' VR studios Twisted Pixel, Armature, Sanzaru closed. Context: Reality Labs cumulative losses >$70B since late 2020. BORDERLINE scope: press inference is 'pivot to AI' as investment destination, not AI displacing workers.",https://americanbazaaronline.com/2026/01/15/meta-layoffs-in-2026-hit-reality-labs-473299/,press_report,,,disputed,2026-07-03,2026-07-03,"Recode 2026-07-03. COUNT CONFLICT — three figures on record, none averaged: 300 (CNBC 2026-01-13, the migrated figure), 'more than 1,000' (CNBC per American Bazaar 01-15), 1,500 / 'about 10% of metaverse-focused staff' (WSJ). Likely first-tranche vs fuller-count reporting. Human to pick the count basis or null it. Country=US inferred from affected US studios, low-moderate confidence."
amazon-2026-01,Amazon,AMZN,2026-01-28,,16000,approximate,global,United States,,tech,press_inferred,contextual,"Amazon is laying off 16,000 employees as AI battle intensifies — CNN headline framing, 2026-01-28, https://www.cnn.com/2026/01/28/tech/amazon-layoffs-ai; CNBC: 'latest anti-bureaucracy, AI' cuts (2026-01-28, 403 to fetch)","Galetti's January memo frames the cuts as continuation of October restructuring and bureaucracy reduction and does NOT itself name AI: 'While many teams finalized their organizational changes in October, other teams did not complete that work until now.' (via fetched https://finance.yahoo.com/news/amazon-told-employees-axing-16-163421164.html). Attribution chain tangled: Jan memo is phase 2 of the Oct 2025 reduction whose announcement DID cite AI (row amazon-2025-10) but whose CEO then denied AI as driver. Also: open letter from 1,200+ Amazon employees demanded input on 'how or whether AI-related layoffs or headcount freezes are implemented' (GeekWire, from search results, not fetched).",https://finance.yahoo.com/news/amazon-told-employees-axing-16-163421164.html,press_report,,,single_source,2026-07-03,2026-07-03,"Recode 2026-07-03. ~16,000 roles confirmed, 2026-01-28 confirmed; running total ~30,000 since Oct 2025 — largest reduction in company history. Coded press_inferred because the Jan memo contains no AI attribution; if the human treats Oct+Jan as one attributed event, explicit_company via the Oct Galetti message is defensible — flagged, not decided."
block-2026-02,Block,SQ,2026-02-26,,4000,approximate,global,United States,,fintech,explicit_company,sole,"We're already seeing that the intelligence tools we're creating and using, paired with smaller and flatter teams, are enabling a new way of working — Jack Dorsey (CEO), X post announcing ~4,000 layoffs (~40% of staff), 2026-02-26, verified via https://fortune.com/2026/02/27/block-jack-dorsey-ceo-xyz-stock-square-4000-ai-layoffs/; shareholder letter added: 'I believe the majority of companies will reach the same conclusion and make similar structural changes'","Dorsey framed 'intelligence tools' (Block's term for AI) as the reason and stressed the business was strong. AI-WASHING DISPUTE recorded, not adjudicated: Mizuho analyst Dan Dolev told WSJ 'the vast majority of these cuts were probably not due to AI' (via CNN, HTTP 451 — reported, not independently fetched). Fetched Fortune piece cites Oxford Economics (Jan 2026): many CEO-attributed AI layoffs stem from prior overhiring; Block headcount roughly tripled 2019→~12,000 peak with prior 2024-25 layoff rounds.",https://fortune.com/2026/02/27/block-jack-dorsey-ceo-xyz-stock-square-4000-ai-layoffs/,press_report,,,disputed,2026-07-03,2026-07-03,"Recode 2026-07-03. ~4,000 confirmed (workforce ~40% cut, >10,000 to just under 6,000), 2026-02-26 confirmed. TICKER FIX NEEDED: Block's NYSE ticker changed SQ→XYZ in Jan 2025 — pending human ok. Shareholder-letter primary not directly fetched; quotes via fetched Fortune."
atlassian-2026-03,Atlassian,TEAM,2026-03-11,,1600,approximate,global,,,tech,explicit_company,mixed,"We are doing this to self-fund further investment in AI and enterprise sales, while strengthening our financial profile. [...] We fundamentally believe people and AI create the best outcomes. Our approach is not 'AI replaces people'. But it would be disingenuous to pretend AI doesn't change the mix of skills we need or the number of roles required in certain areas. It does. — Mike Cannon-Brookes (CEO/co-founder), 'An important update on our team', Atlassian blog, 2026-03-11, https://www.atlassian.com/blog/announcements/atlassian-team-update-march-2026 (primary, fetched directly)","Two-sided attribution in one document: cuts framed as self-funding AI investment (AI as destination) AND CEO concedes AI changes 'the number of roles required in certain areas' (AI as partial cause), while denying 'AI replaces people'. Cleanest primary-source attribution in the 2025-26 rows. Context: Atlassian stock had lost over half its value amid the generative-AI software selloff (TechCrunch, https://techcrunch.com/2026/03/12/atlassian-follows-blocks-footsteps-and-cuts-staff-in-the-name-of-ai/).",https://www.atlassian.com/blog/announcements/atlassian-team-update-march-2026,company_statement,,,verified,2026-07-03,2026-07-03,"Recode 2026-07-03. Count confirmed in primary: '~10% (or ~1,600 employees)'; date 2026-03-11 confirmed. Multi-country event: reported split (~640 North America, ~480 Australia, ~250 India, 900+ in R&D) appeared only in search summaries, unverified — country left empty and split flagged rather than applied; schema wants one row per country once the split is verified."
oracle-2026-03,Oracle,ORCL,2026-03-31,2026-03-31,,undisclosed,global,US,,tech,press_inferred,contextual,"Oracle cutting thousands of jobs as company continues to ramp AI spending — CNBC headline/framing, 2026-03-31, https://www.cnbc.com/2026/03/31/oracle-layoffs-ai-spending.html (Oracle spokesperson declined to comment on the AI link)","Attribution is press/analyst-inferred, NOT company-stated. The termination email employees received named only 'a broader organizational change' with no AI mention; Oracle declined to comment on the AI link. The 'up to 30,000' headline count originates from a TD Cowen analyst estimate (20,000-30,000, Jan 2026), never confirmed by Oracle — count left undisclosed per no-guess rule. SEPARATE, later event: Oracle's June 22 2026 10-K disclosed ~21,000 cumulative FY2026 reduction with explicit AI-causation language ('The adoption and deployment of AI technologies across our operations have resulted... in reductions to our workforce') — do NOT merge that figure or quote into this March 31 row.",https://www.cnbc.com/2026/03/31/oracle-layoffs-ai-spending.html,press_report,,Challenger Gray & Christmas March 2026 report,disputed,2026-07-04,2026-07-04,"PROPOSED March 20-31 sweep. Event verified (multiple same-day reports); count UNCONFIRMED by company (analyst estimate only). India ~12,000 reported as largest single-country share (unverified). Human decisions: (a) whether to enter the analyst 20-30k estimate as approximate or keep undisclosed; (b) whether press-inferred attribution clears the bar."
snap-2026-04,Snap,SNAP,2026-04-15,,1000,approximate,global,US,,tech,explicit_company,mixed,"While these changes are necessary to realize Snap's long-term potential, we believe that rapid advancements in artificial intelligence enable our teams to reduce repetitive work, increase velocity, and better support our community, partners, and advertisers. — Evan Spiegel (CEO), 'Organizational Changes at Snap', 2026-04-15, https://newsroom.snap.com/organizational-changes-at-snap","Cost-discipline framing primary (~$500M+ annualized savings; ~1,000 = 16% of workforce, 300+ open roles closed); AI cited as the enabler, not sole cause. Verified via Snap newsroom + same-day CNBC/TechCrunch.",https://newsroom.snap.com/organizational-changes-at-snap,company_statement,,,verified,2026-07-04,2026-07-04,"PROPOSED April 2026 sweep. Count ~1,000 (16%) approximate from percentage; confirm exact headcount vs any WARN filing before finalizing. Strongest clean AI-attributed cut of the month."
meta-2026-04,Meta,META,2026-04-23,2026-05-20,8000,approximate,global,US,,tech,press_inferred,contextual,"We're doing this as part of our continued effort to run the company more efficiently and to allow us to offset the other investments we're making. This is not an easy tradeoff. — Janelle Gale (Chief People Officer), internal memo via Bloomberg, 2026-04-23, https://www.bloomberg.com/news/articles/2026-04-23/meta-tells-staff-it-will-cut-10-of-jobs-in-push-for-efficiency","April 23 announcement memo names efficiency/offsetting-investments, NOT AI; the AI-capex framing was supplied by press (Bloomberg/CNN/NPR). A more explicit AI statement came from Zuckerberg at the May 20 execution — do NOT back-date to April. Distinct from meta-2026-01 (Reality Labs). ~8,000 (~10%) plus ~6,000 open reqs frozen.",https://www.cnbc.com/2026/04/23/meta-will-cut-10percent-of-workforce-as-it-pushes-more-into-ai.html,press_report,,,disputed,2026-07-04,2026-07-04,PROPOSED April 2026 sweep. Date/count verified; coded press_inferred because the April memo is AI-silent. Human to confirm inclusion given company did not name AI at announcement.
cognizant-2026-04,Cognizant,CTSH,2026-04-29,,,undisclosed,global,,India-majority workforce (~250K of ~357.6K),tech,explicit_company,contextual,"The Project Leap program we announced today is a key step toward accelerating our vision of the operating model of the future and funding continued investments in AI, competitive offerings and the re-skilling of our workforce. — Ravi Kumar S (CEO), Cognizant Q1 2026 results press release, 2026-04-29, https://news.cognizant.com/2026-04-29-Cognizant-Reports-First-Quarter-2026-Results","AI named as investment DESTINATION of the restructuring (savings 'fund continued investments in AI'), not as the cause of the cuts — the 'AI as destination' pattern, hence contextual. Company disclosed a $230-320M restructuring charge ($200-270M severance) but NO headcount reduction. Circulating counts (4,000 Livemint; 7,000-15,000 Business Standard) are ANALYST back-calculations from the severance budget vs ~357K headcount — not company figures, so count left undisclosed per no-guess rule. Note the tension: reported Q1 headcount actually ROSE to 357,600 (+6,000 QoQ, +21,300 YoY); cuts are forward-looking. Primary press release fetched directly.",https://news.cognizant.com/2026-04-29-Cognizant-Reports-First-Quarter-2026-Results,company_statement,,,verified,2026-07-04,2026-07-04,"PROPOSED April 2026 sweep (added after clarification). Explicit company AI framing but count undisclosed (Klarna/IBM precedent). India-heavy — relevant to the dataset's Global South coverage gap. Human: whether 'AI as investment destination' clears the causal bar, and whether to record the analyst 7-15k range anywhere."
